ui.menu|Μενού
536|Αφίσα της ανάρτησης Instagram: button4help με AI help You, «Not a GPS tracker. A smart emergency button.» Μια νεαρή γυναίκα βάζει το κουμπί στην τσέπη του τζιν της· από κάτω, τα βήματα από την ειδοποίηση στη βοήθεια και τα χαρακτηριστικά: καινοτόμο, διακριτικό, ελαφρύ, φορητό, εύκολο στη χρήση, πάντα μαζί σας.
537|Ρυθμίσεις του AI help You: προσωπικές λέξεις-κλειδιά, γλώσσα αναγνώρισης φωνής και συνδεδεμένες συσκευές, με τις επιλογές Smartwatch και AIhelpButton.
538|Στο iPhone ορισμένες λειτουργίες περιορίζονται από τους κανόνες της Apple: γι’ αυτό η φωνητική εντολή περνά από το Siri και τα SMS, το WhatsApp και οι κλήσεις από τη Συντόμευση «Proteggimi». Οι εφαρμογές Android, στην πλήρη έκδοση, προσφέρουν όλες τις λειτουργίες.
539|Κανάλια ειδοποίησης
540|Γενικά
541|Τεχνολογία ομότιμων (peer-to-peer): ο συναγερμός πηγαίνει από το τηλέφωνό σας απευθείας στις επαφές εμπιστοσύνης, χωρίς λογαριασμό, σύνδεση ή ιδιόκτητο cloud. Ισχύει η αρχή της ελαχιστοποίησης δεδομένων: ο προγραμματιστής δηλώνει ότι δεν συλλέγει προσωπικά δεδομένα ούτε τα παραχωρεί σε τρίτους· ρυθμίσεις και επαφές παραμένουν στη συσκευή.
542|Για την παράδοση των ειδοποιήσεων και τον εντοπισμό της διεύθυνσης χρησιμοποιούνται ωστόσο οι εξωτερικές υπηρεσίες που προβλέπει η εφαρμογή.
543|Μηχανική αξιοπιστία
544|Ειδοποιήσεις που παραδίδονται ακόμη και με διακοπτόμενη σύνδεση: αυτόματη επαναποστολή μόλις επανέλθει το δίκτυο
545|Αυτόματη συνέχιση της ζωντανής τοποθεσίας μετά από κάθε διακοπή, όπως μια επανεκκίνηση ή οι βελτιστοποιήσεις του συστήματος
546|Συνεχής λειτουργία σε πρώτο πλάνο, στο παρασκήνιο και με σβηστή οθόνη, με την κατάσταση πάντα ορατή
547|Καθοδηγούμενη επανενεργοποίηση μετά από επανεκκινήσεις και ενημερώσεις, για να μη χαθεί η ρύθμιση
548|Κάθε λειτουργία επαληθευμένη με δοκιμές πεδίου σε πραγματικά smartphone και έξυπνα ρολόγια
549|Η πραγματική λειτουργία εξαρτάται από έκδοση, άδειες, δίκτυο και συσκευή.
550|Πού γεννήθηκε
551|Στο Politecnico di Bari.
552|Το έργο γεννήθηκε στο Τμήμα Ηλεκτρολόγων Μηχανικών και Μηχανικών Πληροφορικής του Politecnico di Bari, στο εργαστήριο ELEDIGILAB Ηλεκτρονικής Ψηφιακών Συστημάτων και Εφαρμογών.
553|Τύπος
554|Μίλησαν γι’ αυτό.
555|Εφημερίδες και τηλεοπτικοί σταθμοί που παρουσίασαν το έργο no pAIn™.
556|<b data-no-i18n="">BariToday</b> · Άρθρο · 3 Μαρτίου 2026
557|Διαβάστε το άρθρο ↗
558|<b data-no-i18n="">TG Norba</b> · Τηλεοπτικό ρεπορτάζ · 19 Δεκεμβρίου 2024
559|Το έργο no pAIn™ στο δελτίο ειδήσεων των 7.30.
560|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Βίντεο · 17 Δεκεμβρίου 2023
561|Δείτε το βίντεο ↗
562|<b data-no-i18n="">TVA · Acquedotto Pugliese</b> · Βίντεο
563|Πρόληψη της έμφυλης βίας με τεχνητή νοημοσύνη: συνέντευξη με τον Καθ. Μηχ. Agostino Giorgio.
564|Λογότυπο του Politecnico di Bari
565|Λογότυπο του Τμήματος Ηλεκτρολόγων Μηχανικών και Μηχανικών Πληροφορικής του Politecnico di Bari
566|Λογότυπο του ELEDIGILAB, Εργαστήριο Ηλεκτρονικής Ψηφιακών Συστημάτων και Εφαρμογών
567|Άρθρο του BariToday για την εφαρμογή αιτήματος βοήθειας που δημιουργήθηκε στο Politecnico di Bari
568|Ρεπορτάζ του TG Norba στο δελτίο των 7.30 της 19ης Δεκεμβρίου 2024
569|Σελίδα της Gazzetta del Mezzogiorno για το βραχιόλι με τεχνητή νοημοσύνη που σχεδιάστηκε στο Μπάρι
570|Μπορούν να χρησιμοποιηθούν και σε άλλες έκτακτες ανάγκες;
571|Ναι. Η τεχνολογία no pAIn™ γεννήθηκε για την πρόληψη της έμφυλης βίας, αλλά ο μηχανισμός της, η άμεση ειδοποίηση επαφών εμπιστοσύνης με την τοποθεσία, βοηθά σε κάθε έκτακτη ανάγκη όπου είναι δύσκολο να ζητήσετε βοήθεια φωναχτά ή να χρησιμοποιήσετε το τηλέφωνο.
572|Ζητήστε βοήθεια από το smartphone ή το έξυπνο ρολόι σας χωρίς να τα χειριστείτε: <span class="hl">γίνεται</span>, με την τεχνολογία digital4help™ του έργου no pAIn™.
573|<strong>digital4help™</strong>, η νέα εποχή της ψηφιακής προστασίας: από τα πανεπιστημιακά ερευνητικά εργαστήρια απευθείας στις συσκευές σας.
574|Το no pAIn™ βάζει την τεχνητή νοημοσύνη στην υπηρεσία της πρόληψης: διακριτικά ψηφιακά εργαλεία που σας προστατεύουν όπου κι αν βρίσκεστε και μια εφαρμογή για κάθε συσκευή, με συνοδευτικές εφαρμογές για έξυπνα ρολόγια.
575|Κατεβάστε την εφαρμογή για τη συσκευή σας
576|Αγγίξτε μια εικόνα για μεγέθυνση.
577|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Άρθρο · Αύγουστος 2026
578|Τεχνολογία ομότιμων και τεχνητή νοημοσύνη εκτός σύνδεσης στην υπηρεσία της ασφάλειας: το άρθρο παρουσιάζει το έργο no pAIn™, που γεννήθηκε στο εργαστήριο ELEDIGILAB του Politecnico di Bari, και τους δύο πυλώνες του, πλήρες απόρρητο και αίτημα βοήθειας ακόμη και χωρίς να αγγίξετε το τηλέφωνο.
579|Δείτε στο Instagram ↗
580|Αφίσα no pAIn project του Agostino Giorgio, Politecnico di Bari: μια ασπίδα με γυναικεία φιγούρα, η λίστα των τεσσάρων εφαρμογών (Proteggimi για Android στα ιταλικά, AI help You για Android σε 12 γλώσσες, AIuto SOS – watch4help για έξυπνα ρολόγια Wear OS, no pAIn για iOS) και, στο κάτω μέρος, ένα έξυπνο ρολόι με το πλήκτρο SOS, ένα smartphone με την εφαρμογή και το κουμπί button4help κρεμασμένο στον λαιμό.
581|<strong>no pAIn™ project: Technology that protects life</strong>Το έργο και οι εφαρμογές του σε μια αφίσα, στα αγγλικά.
582|Δωρεάν όταν χρειάζεται
583|Τη στιγμή του κινδύνου, <span class="hl">η έκκληση για βοήθεια είναι δωρεάν.</span>
584|Όλες οι εφαρμογές κατεβαίνουν δωρεάν και σε καθεμία τουλάχιστον ένας τρόπος να σημάνετε συναγερμό με την τοποθεσία σας μένει πάντα δωρεάν, ακόμη και χωρίς συνδρομή.
585|Έξυπνο ρολόι Wear OS
586|δωρεάν, όλες οι λειτουργίες
587|Εντελώς δωρεάν: χωρίς χρονικά περιορισμένη δοκιμή, χωρίς συνδρομή και χωρίς αγορές μέσα από την εφαρμογή. Ο συναγερμός ξεκινά από τον καρπό σας, ακόμη και χωρίς smartphone.
588|Κατεβάστε τώρα →
589|3 ημέρες
590|πλήρους δοκιμής, μετά η έκτακτη ανάγκη μένει δωρεάν
591|Proteggimi και AI help You
592|Μετά τη δοκιμή λήγει μόνο η εκκίνηση από το κουμπί Avvia του Proteggimi ή Start του AI help You. Η έκτακτη ανάγκη ξεκινά δωρεάν από τη μόνιμη ειδοποίηση, το γρήγορο κουμπί στην αρχική οθόνη, το έξυπνο ρολόι και, με το AI help You, από το button4help™. Μόλις ξεκινήσει, η εφαρμογή ακούει και τις φωνητικές σας εντολές.
593|Κατεβάστε το Proteggimi →
594|Κατεβάστε το AI help You →
595|iPhone και Apple Watch
596|Πάντα
597|δωρεάν ο συναγερμός με την τοποθεσία
598|Το μήνυμα ειδοποίησης στο Telegram με την τρέχουσα και τη ζωντανή τοποθεσία σας είναι πάντα δωρεάν και ξεκινά και από το Apple Watch. Φωνητική εντολή, SMS, WhatsApp και κλήση προστίθενται με μία μόνο αγορά μέσα από την εφαρμογή, χωρίς συνδρομή.
599|Όλες οι λεπτομέρειες για το τι είναι δωρεάν →
601|<strong>Όλες κατεβαίνουν δωρεάν</strong> και σε καθεμία η έκκληση για βοήθεια με την τοποθεσία σας μένει δωρεάν. <a class="link-arrow" href="versioni.html">Τι είναι δωρεάν σε κάθε εφαρμογή →</a>
602|Δωρεάν έκτακτη ανάγκη
603|Κατεβάστε τώρα
604|Σαρώστε τον κωδικό με την κάμερα του τηλεφώνου σας ή πατήστε το σήμα.
605|Δωρεάν στην έκτακτη ανάγκη
606|<strong>3 ημέρες δοκιμής με όλες τις λειτουργίες.</strong> Μετά οι λειτουργίες έκτακτης ανάγκης μένουν δωρεάν: λήγει μόνο η εκκίνηση από το κουμπί Start της εφαρμογής.
607|Η έκτακτη ανάγκη ξεκινά δωρεάν από τη μόνιμη ειδοποίηση, το γρήγορο κουμπί στην αρχική οθόνη, το έξυπνο ρολόι και το button4help™
608|Όταν ξεκινήσει έτσι, ενεργοποιείται και η ακρόαση των φωνητικών εντολών
609|Το AI help You ειδοποιεί τις επαφές που έχετε ορίσει. Δεν επικοινωνεί με τις δημόσιες υπηρεσίες έκτακτης ανάγκης και δεν τις αντικαθιστά. Μετά τις 3 ημέρες δοκιμής λειτουργεί δωρεάν σε λειτουργία γρήγορης έκτακτης ανάγκης: <a class="link-arrow" href="versioni.html">δείτε Free και Premium</a>.
610|<strong>3 ημέρες δοκιμής με όλες τις λειτουργίες.</strong> Μετά οι λειτουργίες έκτακτης ανάγκης μένουν δωρεάν: λήγει μόνο η εκκίνηση από το κουμπί Avvia της εφαρμογής.
611|Η έκτακτη ανάγκη ξεκινά δωρεάν από τη μόνιμη ειδοποίηση, το γρήγορο κουμπί στην αρχική οθόνη και το έξυπνο ρολόι
612|Δωρεάν συναγερμός
613|<strong>Πάντα δωρεάν: ο συναγερμός με την τοποθεσία σας.</strong> Το μήνυμα ειδοποίησης στο Telegram φεύγει με την τρέχουσα τοποθεσία σας και με ζωντανή τοποθεσία για 30 λεπτά, και από το Apple Watch.
614|Με μία μόνο αγορά μέσα από την εφαρμογή, χωρίς συνδρομή, προσθέτετε τη φωνητική εντολή «Hey Siri, Βοήθησέ με», SMS, WhatsApp, κλήση και ζωντανή τοποθεσία έως 24 ώρες.
615|Όλα δωρεάν
616|Εντελώς δωρεάν
617|<strong>Όλες οι λειτουργίες είναι δωρεάν.</strong> Χωρίς χρονικά περιορισμένη δοκιμή, χωρίς συνδρομή και χωρίς αγορές μέσα από την εφαρμογή.
618|Κωδικός QR για λήψη του AI help You από το Google Play
619|Αποκτήστε το στο Google Play
620|Κωδικός QR για λήψη του Proteggimi από το Google Play
621|Κωδικός QR για λήψη του no pAIn από το App Store
622|Λήψη στο App Store
623|Κωδικός QR για λήψη του AIuto SOS από το Google Play
624|Κωδικός QR για λήψη του AI help App από το Google Play
625|Η έκκληση για βοήθεια <span class="hl">είναι πάντα δωρεάν.</span>
626|Όλες οι εφαρμογές κατεβαίνουν δωρεάν και σε καθεμία τουλάχιστον ένας τρόπος να σημάνετε συναγερμό με την τοποθεσία σας μένει δωρεάν. Το AIuto SOS για Wear OS είναι εξ ολοκλήρου δωρεάν· οι εφαρμογές Android έχουν 3 ημέρες πλήρους δοκιμής και μετά οι λειτουργίες έκτακτης ανάγκης μένουν δωρεάν· στο iPhone ο συναγερμός στο Telegram με την τοποθεσία σας είναι πάντα δωρεάν.
627|Wear OS · AIuto SOS
628|Όλες οι λειτουργίες περιλαμβάνονται
629|Χωρίς χρονικά περιορισμένη δοκιμή
630|Χωρίς συνδρομή και χωρίς αγορές μέσα από την εφαρμογή
631|Αυτόνομη εφαρμογή για έξυπνα ρολόγια Wear OS: λειτουργεί ακόμη και χωρίς smartphone.
632|Android · Proteggimi και AI help You
633|3 ημέρες δοκιμής, μετά δωρεάν έκτακτη ανάγκη
634|Για 3 ημέρες η εφαρμογή είναι πλήρης. Μετά οι λειτουργίες έκτακτης ανάγκης μένουν δωρεάν: λήγει μόνο η εκκίνηση από το κουμπί Avvia του Proteggimi ή Start του AI help You.
635|Δωρεάν εκκίνηση από τη μόνιμη ειδοποίηση και το γρήγορο κουμπί στην αρχική οθόνη
636|Δωρεάν εκκίνηση από το έξυπνο ρολόι και, με το AI help You, από το button4help™
637|Μόλις ξεκινήσει, η ακρόαση φωνητικών εντολών είναι ενεργή
638|Με το Premium επιστρέφει και η εκκίνηση από το κουμπί Avvia/Start. Οι όροι και η τιμή αναφέρονται στη σελίδα κάθε εφαρμογής στο Google Play.
639|Συναγερμός με τοποθεσία, πάντα δωρεάν
640|Telegram με την τρέχουσα τοποθεσία σας
641|Εκκίνηση και από το Apple Watch
642|Μία μόνο αγορά μέσα από την εφαρμογή, περισσότερες λειτουργίες
643|Ειδική εφαρμογή Wear OS, δωρεάν
644|¹ Μετά τις 3 ημέρες δοκιμής, χωρίς Premium το κουμπί Avvia (Proteggimi) ή Start (AI help You) είναι ανενεργό· η έκτακτη ανάγκη ξεκινά δωρεάν από τα κουμπιά γρήγορης έκτακτης ανάγκης.
645|² Στο Android Free, μετά την εκκίνηση από κουμπί γρήγορης έκτακτης ανάγκης.
646|Η λήψη είναι δωρεάν και σε κάθε εφαρμογή η έκκληση για βοήθεια με την τοποθεσία σας μένει δωρεάν. Το AIuto SOS watch4help™ για Wear OS είναι εντελώς δωρεάν. Τα Proteggimi και AI help You για Android προσφέρουν 3 ημέρες πλήρους δοκιμής· μετά οι λειτουργίες έκτακτης ανάγκης μένουν δωρεάν και λήγει μόνο η εκκίνηση από το κουμπί Avvia ή Start. Στο iPhone ο συναγερμός στο Telegram με την τοποθεσία σας, και ζωντανά και από το Apple Watch, είναι πάντα δωρεάν· Siri, SMS, WhatsApp και κλήση απαιτούν εφάπαξ αγορά, χωρίς συνδρομή. <a href="versioni.html">Δείτε τη σύγκριση</a>.
600|<a class="link-arrow" href="https://apps.apple.com/app/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> για iPhone, σε 12 γλώσσες
647|Επισκέψεις στον ιστότοπο
648|<strong>Ένα άγγιγμα στο έξυπνο ρολόι, ακόμη και με το τηλέφωνο στο πάτωμα</strong>Κατά τη διάρκεια μιας επίθεσης αρκεί ένα άγγιγμα στο ρολόι: το Proteggimi ειδοποιεί τους φίλους με την τοποθεσία, εκείνοι καλούν την αστυνομία και η βοήθεια φτάνει έγκαιρα. Σκηνές μυθοπλασίας, για λόγους επίδειξης· το βίντεο έχει ήχο.
649|Το AI help You σε δύο αφίσες.
650|Σε εικόνες
651|Δώδεκα γλώσσες, το κουμπί button4help™ και ένας συναγερμός που ξεκινά με ένα απλό πάτημα: οι αφίσες συνοψίζουν τι κάνει η εφαρμογή και πώς κατεβαίνει.
652|<strong>AI help You</strong>Η αφίσα στα αγγλικά: ο κωδικός QR οδηγεί στην εφαρμογή στο Google Play.
653|<strong>AI help You και button4help™</strong>Όχι συσκευή εντοπισμού GPS, αλλά ένα έξυπνο κουμπί έκτακτης ανάγκης. Ενημερωτικό γράφημα στα αγγλικά.
654|Αφίσα AI help You του Agostino Giorgio, Politecnico di Bari: η ασπίδα με τη γυναικεία φιγούρα, ο κωδικός QR για λήψη της εφαρμογής από το Google Play και, στο κάτω μέρος, ένα έξυπνο ρολόι με το πλήκτρο SOS, το smartphone με την εφαρμογή και το κουμπί button4help κρεμασμένο στον λαιμό.
655|Ενημερωτικό γράφημα AI help You και button4help: εφαρμογή πρόληψης της έμφυλης βίας σε 12 γλώσσες· όχι συσκευή εντοπισμού GPS αλλά έξυπνο κουμπί έκτακτης ανάγκης· ένα χέρι πατά το κουμπί· τα βήματα: αποστολή ειδοποίησης, η φίλη λαμβάνει την ειδοποίηση, άμεση δράση· καινοτόμο, διακριτικό, ελαφρύ, φορητό, εύκολο στη χρήση, πάντα μαζί σας.
656|<strong>Από την ειδοποίηση στη βοήθεια</strong>Το button4help™ με το AI help You σε ενημερωτικό γράφημα, στα αγγλικά.
657|Κάθετο ενημερωτικό γράφημα button4help με το AI help You: όχι συσκευή εντοπισμού GPS αλλά έξυπνο κουμπί έκτακτης ανάγκης· ένα χέρι πατά το κουμπί δίπλα σε μια τσάντα· τα βήματα από την ειδοποίηση στη βοήθεια· καινοτόμο, διακριτικό, ελαφρύ, φορητό, εύκολο στη χρήση, πάντα μαζί σας.
658|Η εικόνα-σύμβολο του έργου · εικονογράφηση
659|no pAIn: never oppressed protected by Artificial Intelligence nonviolence system, με τα αρχικά τονισμένα με χρώμα.
660|Εικονογράφηση: μια γυναίκα με φουτουριστική όψη σηκώνει το ανοιχτό χέρι με τη λέξη NO PAIN, ανάμεσα σε φωτεινά κυκλώματα.
661|Σελίδα τίτλου του άρθρου No Pain Device στο περιοδικό Electronics (MDPI), 2024, τόμος 13, τεύχος 9, 1766.
662|Σελίδα τίτλου του άρθρου A Smart App for the Prevention of Gender-Based Violence στο περιοδικό Electronics (MDPI), 2026, τόμος 15, τεύχος 1, 197.
663|Οι τεχνολογίες του έργου, διαθέσιμες σε φορείς και επιχειρήσεις
664|Τεχνολογία κατά της έμφυλης βίας · το έργο no pAIn™ του Politecnico di Bari
665|Σήμα: ασπίδα με γυναικεία φιγούρα και η επιγραφή no pAIn & watch4help technologies, by no pAIn project engineering.
666|Αφίσα «Tecnologia contro la violenza di genere» (Τεχνολογία κατά της έμφυλης βίας), έργο no pAIn του Politecnico di Bari: δύο χέρια κρατούν ένα smartphone με την ασπίδα της εφαρμογής· στο κάτω μέρος πλήρης ιδιωτικότητα peer-to-peer, τεχνητή νοημοσύνη εκτός σύνδεσης χωρίς cloud και γρήγορη ενεργοποίηση με φωνή, άγγιγμα ή έξυπνο ρολόι.
667|<strong>Έκκληση για βοήθεια με τη φωνή, χωρίς να γίνει αντιληπτό</strong>Το τηλέφωνό της έχει πεταχτεί στο πάτωμα, αλλά η γυναίκα λέει «non farlo» («μην το κάνεις»), μια προσωπική λέξη-κλειδί: το Proteggimi αναγνωρίζει τη φωνητική εντολή και στέλνει το αίτημα βοήθειας. Αυτές οι λέξεις δεν αφήνουν τον δράστη να καταλάβει ότι σήμανε συναγερμός, τόσο που εκείνος μένει εκεί και συλλαμβάνεται.
668|Έργο που σχεδίασε και ανέπτυξε ο <strong>Καθ. Μηχ. Agostino Giorgio</strong><br>Διδάσκων στο Politecnico di Bari
669|Τα τρία χαρακτηριστικά του digital4help™
670|Πλήρης ιδιωτικότητα, γρήγορη ενεργοποίηση, τεχνητή νοημοσύνη στη συσκευή.
671|<b>Άμεση επικοινωνία, χωρίς μεσάζοντες (P2P).</b> Για να ζητήσετε βοήθεια δεν μεσολαβούν ιδιόκτητες υπηρεσίες, κέντρα κλήσεων ή συνδρομές σε υπηρεσίες έκτακτης ανάγκης: ο συναγερμός φεύγει από τη συσκευή σας απευθείας σε μία ή δύο έμπιστες επαφές, που επιλέγετε εσείς όταν ρυθμίζετε την εφαρμογή, μαζί με την τοποθεσία σας. Εκείνοι έρχονται κοντά σας ή ειδοποιούν την αστυνομία, εξηγώντας με ηρεμία κάθε λεπτομέρεια που χρειάζεται για την επέμβαση: την ηρεμία που εσείς, σε κίνδυνο, δεν θα είχατε.
672|<b>Γρήγορη ενεργοποίηση, από πολλά σημεία.</b> Στην έκτακτη ανάγκη δεν υπάρχει χρόνος να βγάλετε το τηλέφωνο, να το ξεκλειδώσετε και να ανοίξετε την εφαρμογή. Γι' αυτό κάθε εφαρμογή προσφέρει πολλούς τρόπους να σημάνει ο συναγερμός: η φωνή, ένα κουμπί στη συνοδευτική εφαρμογή του έξυπνου ρολογιού ή το κουμπί button4help™, μια εξωτερική συσκευή που έχετε πάνω σας. Ο συναγερμός φεύγει ακόμη και με το τηλέφωνο μακριά από τα χέρια σας.
673|<b>Τεχνητή νοημοσύνη που δουλεύει εκτός σύνδεσης.</b> Τις λέξεις-κλειδιά τις αναγνωρίζει η τεχνητή νοημοσύνη που είναι εγκατεστημένη στη συσκευή, όχι κάποια διαδικτυακή υπηρεσία: τίποτα δεν στέλνεται στο δίκτυο για να καταλάβει ότι ζητάτε βοήθεια, και η κλήση για βοήθεια φεύγει νωρίτερα.
674|<strong>Τα τρία χαρακτηριστικά σε μία αφίσα</strong>Πλήρης ιδιωτικότητα, τεχνητή νοημοσύνη εκτός σύνδεσης και γρήγορη ενεργοποίηση. Στα αγγλικά.
675|Το κουμπί που σημαίνει τον συναγερμό από απόσταση, αφού συνδεθεί με την εφαρμογή. Πωλείται από εξωτερικό κατάστημα.
676|Αφίσα Technology against gender-based violence, no pAIn Project from Poliba: δύο χέρια κρατούν ένα smartphone με την ασπίδα της εφαρμογής, οι λέξεις No Trace και Safe Zone και, στο κάτω μέρος, πλήρης ιδιωτικότητα (P2P), τεχνητή νοημοσύνη εκτός σύνδεσης χωρίς cloud και γρήγορη ενεργοποίηση με φωνή, άγγιγμα, έξυπνο ρολόι ή το κουμπί button4help.
677|<b>Μόνο του δεν ζητά βοήθεια.</b> Το button4help™ είναι ένα κουμπί Bluetooth τρίτου κατασκευαστή, όχι προϊόν no pAIn™: γίνεται μηχανισμός έκτακτης ανάγκης μόνο αφού συνδεθεί με την εφαρμογή AI help You σε Android ή με την εφαρμογή no pAIn™ (Proteggimi) για iPhone, από την έκδοση 59 και μετά.
678|Πριν το αγοράσετε
679|Μόνο του το κουμπί <span class="hl">δεν κάνει τίποτα.</span>
680|Το button4help™ είναι ένα απλό κουμπί Bluetooth που πωλείται σε ηλεκτρονικό κατάστημα: δεν έχει SIM, δεν έχει κέντρο βοήθειας από πίσω και δεν γνωρίζει την τοποθεσία σας. Τις λειτουργίες έκτακτης ανάγκης τις δίνει η εφαρμογή no pAIn™: αυτή αναγνωρίζει τη συσκευή, την αποδέχεται ως μηχανισμό ενεργοποίησης και, με το πάτημα, στέλνει μηνύματα, τοποθεσία και κλήσεις στις επαφές σας.
681|Χωρίς σύνδεση με την εφαρμογή, το κουμπί δεν έχει καμία λειτουργία βοήθειας.
682|Οι εφαρμογές που το αναγνωρίζουν
683|<a class="link-arrow" href="prodotti.html#ai-help-you">AI help You ↗</a> για Android
684|<a class="link-arrow" href="prodotti.html#no-pain-ios">no pAIn™ (Proteggimi) ↗</a> για iPhone, από την έκδοση 59 και μετά
685|Η σύνδεση γίνεται μία φορά, από την εφαρμογή, με καθοδηγούμενη διαδικασία λίγων βημάτων. Το Proteggimi για Android και το AIuto SOS για Wear OS δεν χρησιμοποιούν το κουμπί.
686|AI help You (Android) και no pAIn™ (iPhone) από την έκδοση 59, μετά τη σύνδεση
687|Ανοίξτε το AI help You σε Android ή το no pAIn™ για iPhone, από την έκδοση 59 και μετά, και ακολουθήστε την καθοδηγούμενη διαδικασία σύνδεσης: λίγα βήματα, μία φορά μόνο. Από εκείνη τη στιγμή η εφαρμογή αναγνωρίζει το κουμπί και το δέχεται ως μηχανισμό ενεργοποίησης. Έπειτα κάντε μια δοκιμή σε συνεννόηση με τις επαφές σας.
688|Η αγορά έχει νόημα μόνο αν χρησιμοποιείτε το AI help You σε Android ή το no pAIn™ για iPhone, από την έκδοση 59 και μετά: αυτές οι εφαρμογές το μετατρέπουν σε μηχανισμό έκτακτης ανάγκης. Μόνο του το κουμπί δεν ζητά βοήθεια από κανέναν.
689|Από τη συσκευή σας στις επαφές σας, χωρίς μεσάζοντες
690|Τεχνολογία ομότιμων κόμβων: για να ζητήσετε βοήθεια δεν μεσολαβούν ιδιόκτητες υπηρεσίες, κέντρα κλήσεων ή συνδρομές σε υπηρεσίες έκτακτης ανάγκης. Ο συναγερμός, με τη γεωγραφική θέση, φεύγει από τη συσκευή σας απευθείας σε μία ή δύο έμπιστες επαφές, που επιλέγετε όταν ρυθμίζετε την εφαρμογή.
691|Εκείνοι αποφασίζουν πώς θα επέμβουν: να έρθουν οι ίδιοι ή να ειδοποιήσουν την αστυνομία, περιγράφοντας με ηρεμία κάθε χρήσιμη λεπτομέρεια. Είναι μια ηρεμία που όποιος κινδυνεύει δεν μπορεί να έχει.
692|Χωρίς λογαριασμό, σύνδεση ή ιδιόκτητο cloud. Ισχύει η αρχή της ελαχιστοποίησης των δεδομένων: ο προγραμματιστής δηλώνει ότι δεν συλλέγει προσωπικά δεδομένα και δεν τα παραχωρεί σε τρίτους· ρυθμίσεις και επαφές μένουν στη συσκευή.
693|Στις εκδόσεις Android και στις γλώσσες που υποστηρίζονται, τις λέξεις-κλειδιά τις αναγνωρίζει η τεχνητή νοημοσύνη που είναι εγκατεστημένη στη συσκευή, όχι κάποια διαδικτυακή υπηρεσία: τίποτα δεν στέλνεται στο δίκτυο για να καταλάβει ότι ζητάτε βοήθεια και η βοήθεια ξεκινά πιο γρήγορα.
694|Η αποστολή των ειδοποιήσεων απαιτεί αντίθετα τις συνδέσεις που χρειάζεται το κανάλι που επιλέξατε: δεδομένα κινητής, SMS ή τηλεφωνία.
695|Γρήγορη ενεργοποίηση
696|Πολλά σημεία ενεργοποίησης, γιατί ο χρόνος λείπει
697|Οι εφαρμογές είναι φτιαγμένες για την έκτακτη ανάγκη, όταν δεν υπάρχει χρόνος να βγάλετε το τηλέφωνο, να το ξεκλειδώσετε και να ψάξετε την εφαρμογή. Γι' αυτό καθεμία προσφέρει πολλούς τρόπους να σταλεί το αίτημα βοήθειας.
698|Φωνητικές εντολές, ακόμη και με την οθόνη σβηστή και το τηλέφωνο λίγα μέτρα μακριά
699|Κουμπί έκτακτης ανάγκης στην εφαρμογή, γρήγορο κουμπί στην αρχική οθόνη και μόνιμη ειδοποίηση
700|Συνοδευτική εφαρμογή για έξυπνα ρολόγια ή αυτόνομη εφαρμογή για Wear OS
701|button4help™, το εξωτερικό κουμπί για την τσέπη, την τσάντα ή τον λαιμό
702|Το κουμπί που κρατάτε στην τσέπη και σημαίνει τον συναγερμό του AI help You και του no pAIn™ για iPhone, αφού συνδεθεί με την εφαρμογή: μόνο του δεν έχει λειτουργίες έκτακτης ανάγκης. Τι είναι, τι δεν είναι και πού αγοράζεται.
703|Μόνο του δεν έχει καμία λειτουργία έκτακτης ανάγκης: είναι ένα κουμπί Bluetooth τρίτου κατασκευαστή και γίνεται μηχανισμός συναγερμού μόνο αφού συνδεθεί με την εφαρμογή, κάτι που γίνεται μία φορά με καθοδηγούμενη διαδικασία. Οι εφαρμογές που το αναγνωρίζουν είναι το AI help You για Android και το no pAIn™ (Proteggimi) για iPhone, από την έκδοση 59 και μετά. Αγοράζεται στο <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a>, από τρίτο πωλητή: το no pAIn™ δεν το πουλά. Αν έχετε αμφιβολίες για τη συμβατότητα με το τηλέφωνό σας, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">γράψτε στον σχεδιαστή</a>.
704|Τα πλαίσια του Instagram φορτώνονται από τους διακομιστές του Instagram: ανοίγοντας τη σελίδα, το πρόγραμμα περιήγησής σας συνδέεται σε αυτούς.
705|Φορείς
706|Πώς λειτουργεί η τεχνολογία →
707|no pAIn™ — Βίντεο και επιδείξεις
708|Τα βίντεο του έργου no pAIn™: η τοποθεσία που στέλνει το τηλέφωνο του θύματος, οι επιδείξεις των εφαρμογών, το έξυπνο ρολόι και το κουμπί button4help™.
709|Βίντεο και επιδείξεις
710|Δείτε τι γίνεται <span class="hl">όταν φεύγει ο συναγερμός.</span>
711|Όλα τα βίντεο του έργου σε μία σελίδα: σκηνές μυθοπλασίας, γυρισμένες για επίδειξη, που δείχνουν πώς οι εφαρμογές no pAIn™ ζητούν βοήθεια στη θέση σας και τι λαμβάνουν οι επαφές σας.
712|Το βίντεο που πρέπει να δείτε πρώτο
