ui.menu|Menú
732|En el teléfono puedes instalar la misma guía como app: <a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">ábrela en Google Play ↗</a>
733|Desde la guía del teléfono se instala también la app en el reloj, para quien todavía no la tenga
734|El manual de Proteggimi para Android es un PDF en italiano: se abre en el navegador y se puede guardar. La sección sobre Telegram explica cómo conectar los contactos al bot en pocos pasos. La duración de la ubicación en tiempo real cambia de una app a otra: consulta las opciones de la app instalada.
735|Manual de Proteggimi, Android (PDF) <span class="arr">↗</span>
736|Telegram: cómo conectar tus contactos (PDF) <span class="arr">↗</span>
737|Manual de Proteggimi para Android (PDF) ↗
738|Cartel digital4help: protección digital contra la violencia de género, una nueva era acaba de empezar. Un escudo con una figura femenina entre circuitos luminosos y, debajo, las tres formas de pedir ayuda: smartphone con un gesto o un comando de voz, reloj inteligente AIuto SOS watch4help y el botón button4help pulsado durante un segundo; abajo, IA sin conexión, Safe Zone, No Trace, SOS portátil y el código QR del sitio.
739|<strong>digital4help™: la tecnología que pide ayuda por ti</strong>Smartphone, reloj inteligente y botón: las tres formas de lanzar la alarma. Cartel en inglés.
740|Cartel digital4help: las tres formas de pedir ayuda, smartphone con un gesto o un comando de voz, reloj inteligente AIuto SOS watch4help y el botón button4help pulsado durante un segundo; alrededor, IA sin conexión, Safe Zone, No Trace y SOS portátil.
741|Las tres formas de lanzar la alarma · cartel en inglés
742|Propón tu idea
743|Cómo funciona <span class="arr">→</span>
744|Proyecto
745|Tutoriales
746|Colabora
747|En el momento del peligro, con la tecnología <span class="hl">digital4help™</span> pedir ayuda es gratis.
748|Material promocional del proyecto, en inglés. Las joyas de las ilustraciones son conceptos de diseño.
749|Cartel del proyecto no pAIn: digital4help, protección digital, una nueva era para la protección de las mujeres. Enumera Proteggimi para Android en italiano, AI help You para Android en 12 idiomas, AIuto SOS watch4help para relojes Wear OS y no pAIn para iOS; abajo, un reloj inteligente con la tecla SOS, el smartphone con la app y el botón button4help colgado al cuello.
750|no pAIn™ — Tutoriales
751|Los videotutoriales del proyecto no pAIn™: configuración, contactos en Telegram, emparejamiento de button4help™ y relojes inteligentes. Página en construcción.
752|Los videotutoriales <span class="hl">están en camino.</span>
753|Esta página está en preparación: en breve empezaremos a subir los videotutoriales que muestran paso a paso cómo configurar las apps, conectar los contactos y probar la alarma con seguridad.
754|<span class="wip-badge" data-no-i18n="">⚠︎</span> Página en construcción
755|Qué encontrarás aquí
756|Un vídeo para cada paso.
757|Los tutoriales serán breves, uno por tema, para que veas solo lo que necesitas mientras tienes la app abierta delante.
758|En preparación
759|Permisos, contactos de confianza, palabras clave personales y primera prueba: todo lo que se hace una sola vez, antes de que haga falta de verdad.
760|Conectar los contactos en Telegram
761|Cómo hacer que los avisos con la ubicación lleguen a tus contactos, sin buscar códigos a mano.
762|Emparejar button4help™
763|El asistente que hace que la app reconozca el botón y lo use como activador de la emergencia.
764|El reloj inteligente
765|App compañera y app autónoma para Wear OS: cómo se lanza la alarma desde la muñeca y qué cambia entre las dos.
766|Mientras tanto
767|Lo que ya está.
768|Mientras preparamos los vídeos, tienes el manual escrito y las demos cinematográficas de las apps.
769|¿Quieres que te avisemos?
770|Escríbenos y te diremos en cuanto los videotutoriales estén en línea. También puedes decirnos qué tema necesitas primero: empezamos por ahí.
771|Escribe al diseñador ↗
772|no pAIn™ — Colabora con nosotros
773|Colabora con el proyecto no pAIn™ del Politecnico di Bari: buscamos artesanos y empresas de joyería para esconder button4help™ en joyas y accesorios que se llevan puestos.
774|Colabora con nosotros
775|¿Tienes una idea <span class="hl">para el proyecto?</span>
776|no pAIn™ nace en la universidad y crece con quien aporta competencias, oficio e ideas. La colaboración es con el <strong>Politecnico di Bari</strong>, en la persona del <strong>Prof. Ing. Agostino Giorgio</strong>, creador y responsable del proyecto.
777|Buscamos
778|Artesanos y joyeros para <span class="hl">esconder el botón.</span>
779|button4help™ se activa pulsándolo un segundo: no debe parecer un dispositivo de emergencia, al contrario, cuanto más pase desapercibido, mejor. Por eso buscamos a quien hace joyas y bisutería y sabe convertirlo en un objeto que se lleva cada día.
780|Colgantes, corazones, medallones y collares que alojan el botón en el centro, con una pulsación que sigue siendo cómoda
781|Pulseras, broches, pasadores, llaveros y otros accesorios que se llevan puestos
782|Materiales y acabados adecuados para el uso diario, también en versión económica
783|Series pequeñas, prototipos y pruebas sobre el terreno junto al laboratorio
784|El botón es un dispositivo Bluetooth de un fabricante externo: la colaboración es sobre el accesorio que lo contiene, no sobre su electrónica.
785|El concepto: el botón escondido dentro de un colgante en forma de corazón. Imagen ilustrativa.
786|Cuéntanos qué te gustaría aportar al proyecto.
787|Rellena los campos: el formulario abre tu programa de correo con el mensaje ya escrito, dirigido al Prof. Ing. Agostino Giorgio del Politecnico di Bari. Este sitio no envía ni guarda nada.
788|¿Prefieres escribir directamente? <a class="link-arrow" href="mailto:agostino.giorgio@poliba.it" data-mail="partner">agostino.giorgio@poliba.it ↗</a>
789|Nombre y apellidos
790|Email o teléfono para la respuesta
791|Empresa, taller o entidad (opcional)
792|¿Qué idea te gustaría aportar al proyecto?
793|Preparar el email <span class="arr">→</span>
794|Al tocar el botón se abre tu programa de correo con el texto ya listo: puedes releerlo y cambiarlo antes de enviarlo.
795|Otras colaboraciones
796|No solo joyas.
797|Llevar no pAIn™ a tu organización
798|Ayuntamientos, asociaciones, centros contra la violencia, escuelas y empresas: encuentros, demostraciones y materiales para dar a conocer estas herramientas a quien las necesita.
799|Ver la página dedicada →
800|Investigación y tesis
801|El proyecto nace en el laboratorio ELEDIGILAB del Politecnico di Bari y está descrito en publicaciones científicas: hay espacio para tesis, pruebas sobre el terreno y desarrollos conjuntos.
802|Difusión
803|Darlo a conocer
804|Quien trabaja en comunicación, formación o eventos puede ayudar a que estas apps lleguen a quien no sabe que existen.
805|Escríbenos ↗
806|Un colgante de oro en forma de corazón, llevado al cuello, se pulsa con un dedo: en su centro esconde el botón button4help. Debajo, las palabras button4help, the signal4help becomes pure technology.
807|Material promocional del proyecto, en inglés.
808|Más páginas
